loan_id,year,asset_type,sector,region,borrower_size,loan_usd,ghg_tco2_yr
CL-0001,2024,Efficient boiler,Retail & services,Urban,Micro,485175,185.6
CL-0002,2023,Solar PV,Transport,Rural,Micro,3909225,2511.0
CL-0003,2023,Industrial process,Agribusiness,Rural,Medium,2504302,6881.0
CL-0004,2023,Efficient boiler,Manufacturing,Urban,Medium,146328,115.5
CL-0005,2021,Cold chain,Transport,Urban,Small,341804,143.5
CL-0006,2022,Industrial process,Agribusiness,Urban,Micro,1672382,3312.3
CL-0007,2023,Solar PV,Transport,Urban,Micro,1254192,1088.1
CL-0008,2021,EDGE green building,Agribusiness,Rural,Medium,1363766,429.0
CL-0009,2024,Solar PV,Manufacturing,Rural,Small,605995,542.9
CL-0010,2023,Solar PV,Agribusiness,Rural,Small,3398276,3984.2
CL-0011,2023,EDGE green building,Transport,Urban,Medium,4822304,1543.1
CL-0012,2022,Cold chain,Real estate,Urban,Small,662710,292.1
CL-0013,2021,Efficient boiler,Real estate,Rural,Small,516185,175.3
CL-0014,2024,Fleet renewal,Agribusiness,Urban,Small,428249,98.8
CL-0015,2024,EDGE green building,Real estate,Urban,Medium,3637969,771.2
CL-0016,2023,Solar PV,Real estate,Rural,Micro,771820,466.0
CL-0017,2022,Solar PV,Manufacturing,Urban,Micro,1261350,1166.1
CL-0018,2023,Cold chain,Retail & services,Urban,Small,973887,418.5
CL-0019,2024,Fleet renewal,Transport,Rural,Medium,429768,121.5
CL-0020,2024,Fleet renewal,Manufacturing,Urban,Micro,586899,132.4
CL-0021,2023,Solar PV,Real estate,Urban,Small,1314791,1506.5
CL-0022,2024,Solar PV,Retail & services,Urban,Micro,448645,364.7
CL-0023,2021,Cold chain,Manufacturing,Urban,Small,905528,273.4
CL-0024,2023,EDGE green building,Real estate,Urban,Small,3011031,762.5
CL-0025,2024,Cold chain,Agribusiness,Rural,Micro,356386,177.6
CL-0026,2022,Solar PV,Real estate,Rural,Micro,6226520,5664.5
CL-0027,2022,Efficient boiler,Transport,Urban,Small,1173380,613.7
CL-0028,2023,Cold chain,Agribusiness,Urban,Micro,555650,102.4
CL-0029,2022,Solar PV,Retail & services,Rural,Micro,599980,690.3
CL-0030,2022,Cold chain,Agribusiness,Urban,Small,531916,205.5
CL-0031,2023,Fleet renewal,Agribusiness,Urban,Micro,184419,51.8
CL-0032,2023,Efficient boiler,Retail & services,Rural,Medium,1342242,996.2
CL-0033,2024,EDGE green building,Agribusiness,Rural,Micro,706964,134.7
CL-0034,2023,Efficient boiler,Manufacturing,Urban,Small,1098274,382.6
CL-0035,2021,Fleet renewal,Agribusiness,Urban,Small,353495,87.3
CL-0036,2022,Solar PV,Agribusiness,Urban,Medium,258807,255.8
CL-0037,2021,EDGE green building,Real estate,Urban,Micro,1675279,215.8
CL-0038,2022,Efficient boiler,Real estate,Urban,Micro,209680,191.5
CL-0039,2022,Solar PV,Manufacturing,Urban,Medium,615678,782.3
CL-0040,2022,Cold chain,Manufacturing,Urban,Medium,193839,111.6
CL-0041,2024,Efficient boiler,Manufacturing,Urban,Small,252431,170.7
CL-0042,2021,Fleet renewal,Manufacturing,Urban,Micro,941468,266.9
CL-0043,2024,Solar PV,Retail & services,Urban,Small,1007579,532.7
CL-0044,2022,Solar PV,Real estate,Urban,Small,674040,791.0
CL-0045,2022,Fleet renewal,Real estate,Urban,Medium,98461,27.4
CL-0046,2024,Efficient boiler,Real estate,Urban,Medium,423685,197.3
CL-0047,2023,Fleet renewal,Real estate,Urban,Medium,1428916,349.1
CL-0048,2023,Efficient boiler,Agribusiness,Urban,Small,260746,122.6
CL-0049,2023,Efficient boiler,Real estate,Urban,Small,344179,193.4
CL-0050,2022,Solar PV,Manufacturing,Urban,Micro,310629,165.2
CL-0051,2023,Fleet renewal,Manufacturing,Urban,Small,586492,126.4
CL-0052,2022,Efficient boiler,Transport,Urban,Micro,154407,51.3
CL-0053,2023,Cold chain,Real estate,Urban,Micro,347669,131.8
CL-0054,2024,Industrial process,Transport,Urban,Micro,2431034,5880.7
CL-0055,2021,EDGE green building,Retail & services,Urban,Medium,1444305,424.6
CL-0056,2023,Efficient boiler,Manufacturing,Urban,Small,482904,132.8
CL-0057,2021,Solar PV,Manufacturing,Urban,Small,864198,921.3
CL-0058,2023,Fleet renewal,Retail & services,Rural,Medium,238210,84.7
