outlet,date,url,quote,tone,tone_justification,topic,topic_justification,title,claim
Official Gazette of Montenegro,2024-08-23,https://www.sluzbenilist.me/propisi/373190,"Objavljeno: 23.08.2024. Stupio na snagu: 31.08.2024. Službeni list Crne Gore, broj 82/2024.",neutral,Official publication record; no evaluative language about reception.,legal framework,"Related topic: the page records enactment dates, not investor, grid, coal or permitting outcomes.",Zakon o korišćenju energije iz obnovljivih izvora,The RES law was published on 23 August 2024 and entered into force on 31 August 2024.
Energy Community Secretariat,2024-08-26,https://www.energy-community.org/news/Energy-Community-News/2024/08/26.html,"Montenegro's adoption of the Renewable Energy Law represents a pivotal moment, setting the stage for a new wave of investment in renewable energy.",positive,"Official statement frames the law as a pivotal moment that opens investment, not a warning.",investor interest,Canonical topic: the quoted claim is about a new wave of renewable investment.,Montenegro's Renewable Energy Law paves the way for accelerated growth in renewables,The Secretariat confirmed the August 2024 law aligns with the EU Renewable Energy Directive and expected first auctions in 2025.
CEENERGYNEWS,2024-09-04,https://ceenergynews.com/renewables/montenegro-renewable-energy-law-to-align-country-with-eu-green-directives/,The Energy Community Secretariat in Vienna has stated that Montenegro’s newly adopted renewable energy law aligns the country with key EU renewables directives and demonstrates a strong commitment to achieving climate and energy targets.,positive,Piece relays official praise (alignment and strong commitment) without a counter-claim.,legal framework,"Related topic: the quoted claim is EU-law alignment, not a grid or coal outcome.",Montenegro renewable energy law to align country with EU green directives,Reporting of the Secretariat letter: the law aligns with EU renewables directives; first auctions expected in 2025.
BDK Advokati,2024-09-10,https://bdkadvokati.com/montenegrin-renewables-act-introduces-support-schemes-for-electricity-from-renewable-sources,The Montenegrin Act on the Use of Energy from Renewable Sources (Renewables Act) came into force on 31 August 2024. This legislation aims to promote the production and use of green energy… Its centrepiece is the introduction of support schemes for energy from renewable sources.,neutral,Legal briefing describes the scheme; it does not cheer or criticise reception.,auction design,Related topic: the quoted centrepiece is the support-scheme / auction architecture.,Montenegrin Renewables Act introduces support schemes for electricity from renewable sources,The act in force 31 August 2024 introduces market-premium auctions (including a first-auction quota before the three-year plan) and feed-in tariffs for small plants.
D2P Law,2024-10-01,https://d2plaw.com/en/d2p-headlines/montenegro-new-law-on-the-use-of-energy-from-renewable-sources/,"The first law of its kind enacted in Montenegro establishes a solid foundation for encouraging investment in renewable energy sources, with an emphasis on reducing carbon dioxide emissions.",positive,Quoted language ('solid foundation for encouraging investment') is explicitly favourable.,investor interest,Canonical topic: the claim is about encouraging investment.,Montenegro: New Law on the Use of Energy from Renewable Sources,Parliament adopted the law on 17 August 2024 (Official Gazette 082/24); the firm presents it as a foundation for investment and CO2 reduction.
Balkan Green Energy News (CMS / Tamara Zejak),2024-10-09,https://balkangreenenergynews.com/cms-montenegro-what-does-the-new-law-on-renewable-energy-usage-bring/,"Although the full implementation of the Renewable Energy Law also depends on the adoption of by-laws, it seems that this law will ensure a new wave of investment in the renewable energy sector in Montenegro.",neutral,Investment hope is explicitly conditioned on by-laws; mixed cue labelled neutral rather than inferred as success.,permitting,Canonical topic: the piece’s operational claim is the contact-point / permit-time rules and missing by-laws.,CMS: Montenegro – What does the new Law on renewable energy usage bring?,"Law in force 31 August 2024 introduces market premiums, auctions and a ministry single contact point for permits, with two-year permit clocks for plants over 150 kW — but by-laws are still required."
Balkan Green Energy News,2025-06-03,https://balkangreenenergynews.com/montenegro-preparing-first-renewable-energy-auction-to-accelerate-green-transition/,"This is not just the beginning of a technical process – it is a strategic leap, according to Minister of Energy and Mining Admir Šahmanović.",positive,Minister’s quoted ‘strategic leap’ and 2030 targets are promotional; no failure is reported.,auction design,"Related topic: the article is about designing the first auction, with permitting mentioned only as context.",Montenegro preparing first renewable energy auctions to accelerate green transition,Ministry conference in Podgorica presented the first market-premium solar auction design; minister cited 50% RES in final consumption and 70% renewable electricity by 2030.
Balkan Green Energy News,2025-07-06,https://balkangreenenergynews.com/montenegro-determines-quota-maximum-price-for-solar-power-auction/,"At the forthcoming auction for market premiums for electricity from solar power plants in Montenegro, the participants will bid for state support for 250 MW in total capacity. The maximum price to compete for is EUR 65 per MWh and the contracts will last 12 years.",neutral,Factual parameter announcement without a reception judgement.,auction design,"Related topic: quoted claim is quota, ceiling price and contract length.","Montenegro determines quota, maximum price for solar power auction","Government set a 250 MW solar quota, €65/MWh ceiling and 12-year CfDs, with a possible 50 MW quota extension."
pv magazine,2025-07-09,https://www.pv-magazine.com/2025/07/09/montenegro-sets-ceiling-price-of-e65-mwh-for-first-solar-auction/,"Montenegro has set a ceiling price of €65 ($76.11)/MWh for its first solar auction, which will offer 12-year contracts for difference (CfD) for up to 250 MW of capacity.",neutral,Trade-press recap of auction terms; no evaluative verdict on how the reform is landing.,auction design,Related topic: the quoted claim is the ceiling price and CfD structure.,Montenegro sets ceiling price of €65/MWh for first solar auction,International trade press repeats the 250 MW / €65/MWh / 12-year CfD terms and a 20% quota-extension clause.
Vijesti (MINA / Government of Montenegro),2025-07-10,https://en.vijesti.me/news-b/economy-d/766158/The-government%27s-goal-is-to-create-better-conditions-for-investing-in-renewable-energy-production-facilities.,The Information states that the main goal of the Law on the Use of Energy from Renewable Sources is to create better conditions for investing in the construction of facilities for the production of electricity from renewable sources.,positive,Official statement presents the law’s goal as better investment conditions.,investor interest,Canonical topic: quoted goal is creating better conditions for investing.,Government: The goal is to create better conditions for investing in renewable energy production facilities,"On 10 July 2025 the Government adopted the first-auction information, a 250 MW quota, a €65/MWh cap and tender documents, and tasked the ministry to issue the public call."
European Bank for Reconstruction and Development,2025-07-11,https://www.ebrd.com/home/news-and-events/news/2025/montenegro-renewable-energy-auction.html,"With support from the European Bank for Reconstruction and Development (EBRD), Montenegro’s Ministry of Energy and Mining has launched the country’s first renewable energy auction. The incentive scheme covers 250 megawatts (MW) of solar power generation capacity.",positive,Bank press note calls the auction a major step and an investor-friendly framework.,investor interest,Canonical topic: official claim is launching a 250 MW scheme to attract private investment.,EBRD supports first renewable energy auction in Montenegro,"EBRD says the launch follows the RES Law (in force August 2024), developed with EBRD support, and is aligned with RED II and the Reform and Growth Agenda."
Vijesti (MINA business),2025-07-12,https://en.vijesti.me/news-b/economy-d/766443/sahmanovic-launching-the-auction-process-will-open-the-door-for-hundreds-of-millions-of-euros-of-new-investments,"For the first time, we are introducing a market-based, fair and transparent support system for renewable energy projects.",positive,"Quoted official language is unambiguously promotional (fair, transparent, hundreds of millions).",investor interest,Canonical topic: the claim is new investment inflows from the auction.,Šahmanović: Launching the auction process will open the door to hundreds of millions of euros of new investments,Minister said the 11 July 2025 public call opens the first auction in the sector’s history and would open the door to hundreds of millions of euros.
Balkan Green Energy News,2025-07-14,https://balkangreenenergynews.com/montenegro-sets-november-10-deadline-for-first-solar-power-auction/,"The first such auction in Montenegro will be held for “unspecified locations,” which means that the planned photovoltaic systems can be located in any area in the country.",neutral,Operational recap of the call; minister’s price-stability remark is secondary to the parameters.,permitting,Canonical topic: location-neutral siting plus qualification/grid-connection documents for bidders.,Montenegro sets November 10 deadline for first solar power auction,"Public call: bids by 10 November 2025, 250 MW, ≥400 kW projects, location-neutral, €65/MWh ceiling, 12-year CfD, grid-related bank guarantees of €20 or €40 per kW."
Balkan Green Energy News,2025-12-10,https://balkangreenenergynews.com/montenegro-adopts-national-energy-and-climate-plan/,"This is a plan that enables new investments, new renewable energy power plants, modern grid infrastructure, and a secure transition for the Pljevlja coal region.",positive,Ministry language presents the package as enabling investment and a secure coal-region transition.,coal phase-out,Canonical topic: quoted claim names a secure transition for the Pljevlja coal region (grid is mentioned in passing).,Montenegro adopts National Energy and Climate Plan,"Government adopted the NECP on 10 December 2025 (55% emissions cut, ≥50% renewables) alongside a cross-border electricity/gas bill."
CEENERGYNEWS,2025-12-12,https://ceenergynews.com/climate/montenegro-energy-and-climate-plan/,"This is a plan that enables new investments, new RES power plants, modern grid infrastructure and a secure transition for Pljevlja.",positive,Repeats the ministry’s enabling-investment / Pljevlja-transition framing without a critical counter-quote.,coal phase-out,Canonical topic: Pljevlja transition is in the quoted sentence alongside RES investment.,Montenegro adopted the National Energy and Climate Plan,Ministry quoted: NECP plus the cross-border exchange law are the key European-obligation documents of the previous eight months.
